date	close
12-Oct-12	40
13-Oct-12	131
14-Oct-12	161
15-Oct-12	124
16-Oct-12	78
17-Oct-12	115
18-Oct-12	146
19-Oct-12	143
20-Oct-12	176
21-Oct-12	199
22-Oct-12	164
23-Oct-12	134
24-Oct-12	58
24-Oct-12	37
25-Oct-12	59
26-Oct-12	29
2-Nov-12	102
3-Nov-12	146
4-Nov-12	79
5-Nov-12	116
6-Nov-12	178
7-Nov-12	48
14-Nov-12	16
15-Nov-12	224
16-Nov-12	240
17-Nov-12	148
18-Nov-12	260
19-Nov-12	310
20-Nov-12	320
21-Nov-12	69
