909,809,810,710,808,609,709,1
14,114,213,13,113,112,12,2
311,411,412,410,409,309,310,3
704,605,705,504,604,505,406,4
414,415,315,515,214,512,514,5
600,402,401,500,501,400,301,6
1019,1119,920,1020,1120,1021,1121,7
1128,1129,1029,1030,1130,1229,1230,8
3713,3513,3413,3414,3514,3214,3412,9
4011,3911,4109,3910,4009,4010,3909,10
3917,4017,4116,4117,4115,4016,4215,11
3618,3617,3518,3519,3619,3620,3719,12
4705,4606,4706,4704,4805,4605,4703,13
4702,4801,4802,4903,4803,4902,4900,4901,14
3641,3741,3642,3743,3643,3841,3842,3742,15
4547,4448,4348,4248,4347,4446,4345,16
4144,4243,4041,4043,3944,4044,4045,17
4540,4640,4541,4441,4442,4641,4542,18
4239,4140,4139,4240,4339,4238,4439,19
4747,4748,4648,4647,4847,4746,4645,20
3448,3447,3546,3547,3548,3648,3646,3647,21
3541,3341,3440,3540,3441,3442,3542,22
3634,3733,3632,3533,3532,3633,3432,23
4134,4133,4033,4132,4032,3833,4034,24
3831,3731,3830,3930,3931,3832,3932,25
2902,3101,3001,3102,3201,3003,3100,26
3510,3409,3210,3310,3410,3411,3311,27
3006,2907,2906,2805,2905,3005,3007,28
3400,3500,3301,3401,3302,3402,3501,29
2230,2131,2231,2229,2130,2129,2030,30
2325,2223,2324,2423,2323,2424,2224,31
1647,1746,1646,1547,1645,1546,1446,32
946,947,1046,746,846,945,1145,33
1533,1433,1434,1435,1633,1534,1535,34
1641,1742,1642,1442,1542,1443,1643,35
1044,943,844,944,843,1043,845,36
2937,2936,2736,2836,2837,2835,2935,37
2146,2047,2148,1949,2048,2147,2046,38
2606,2506,2605,2704,2505,2504,2603,39
140,339,239,238,240,340,439,40
245,346,347,246,345,445,344,41
